%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=2960232141, 2016/01/13 19:41:57.7)
88 705 1.388602e-02 3.828434e+00  5.719966971472194217e+01  5.846327549303117621e+01  5.941851060229746651e+01  6.361734518046255005e+01
89 713 1.196283e-02 3.858307e+00  5.719966971472194217e+01  5.840644584252820692e+01  5.908511482950209626e+01  6.003388540309576626e+01
90 721 9.307715e-03 3.851167e+00  5.719966971472194217e+01  5.805282433366394912e+01  5.965674589076556344e+01  6.344781858294902577e+01
91 729 9.914601e-03 3.855267e+00  5.719966971472194217e+01  5.812751833246522182e+01  5.842744888124634883e+01  5.909694067206632440e+01
92 737 1.109824e-02 3.772304e+00  5.719966971472194217e+01  5.745362002670235313e+01  5.837461501280945697e+01  5.933434723643093633e+01
93 745 1.054475e-02 3.800733e+00  5.719966971472194217e+01  5.765883398940181337e+01  5.823000227136219564e+01  5.923451618261643858e+01
94 753 8.490533e-03 3.795195e+00  5.719966971472194217e+01  5.781133453487948515e+01  5.807241343798335720e+01  5.885009765067010790e+01
95 761 8.980572e-03 4.324841e+00  5.719966971472194217e+01  5.762083575434073168e+01  5.782952337086786088e+01  5.836767561765894641e+01
96 769 1.155267e-02 4.438174e+00  5.719966971472194217e+01  5.741686107866996025e+01  5.790250273740625175e+01  5.863874287335793412e+01
97 777 1.334431e-02 4.720140e+00  5.713092777547350920e+01  5.713092777547350920e+01  5.783655462436117034e+01  5.840062899882055092e+01
98 785 1.330721e-02 4.729470e+00  5.695964823590528425e+01  5.695964823590528425e+01  5.789303536477434875e+01  5.930734626688213496e+01
99 793 1.351990e-02 5.177979e+00  5.695964823590528425e+01  5.729955497677224940e+01  5.783699612065316842e+01  5.851193597925635714e+01
100 801 1.225410e-02 5.187260e+00  5.681722026902882305e+01  5.681722026902882305e+01  5.741282301807719080e+01  5.878561758084354949e+01
101 809 1.109734e-02 5.206749e+00  5.676301201222146631e+01  5.676301201222146631e+01  5.721135330826260201e+01  5.879237914554610711e+01
102 817 1.124994e-02 5.337446e+00  5.671852622356994544e+01  5.671852622356994544e+01  5.690453564655877017e+01  5.728866504701450424e+01
